2Tang	wisnu.adji@2tang.co.id
PT SINAR METRINDO PERKASA	marketing@sinarmetrindo.com
Solaria V	marketing@solariaresto.com
Lippo General Insurance	marketing01.gatsu@lippoinsurance.com
Boga group	marketingboga@boga.co.id
PT Pertamina (Persero)	marliansyah@pertamina.com
PT MNC Kapital Indonesia Tbk	marsha.tuakia@mncgroup.com
Pristine	martha.nahiman@sinarmas-agri.com
PT Sinarmas Cakrawala Persada (SCP)	martha.nahiman@sinarmas-agri.com
Ajaib	martha@ajaib.co.id
Mintz v	marthaputri2502@gmail.com
Batavia Prosperindo Sekuritas	martono@bps.co.id
Oishi Indonesia	maya@oishi.co.id
Toyota	Mayang.k@gmail.com
Mayora	mayora.analytics@gmail.com
Din Tai Fung	mega@dintaifung.co.id
Kopi Kenangan	megan.tjiawi@kopikenangan.com
Link Net	melani.malik@biz.i-solution.co.id
PT Unilever Indonesia	melinda.savitri@unilever.com
Unilever	melinda.savitri@unilever.com,
PT.Smartfren Telecom Tbk.	melly.karmelia@smartfren.com
Smartfren	melly.karmelia@smartfren.com
Rakuten	memberservices@rakuten.com
Allium Hotel v	mevy.marcelia@aliumairport. com
Sociolla	meydina.riami@sociolla.com
DBS	michelee@dbs.com
The Body Shop Indonesia	michelle-salim@thebodyshop.co.id
PT. Sharp Electronics Indonesia	mike_n@seid.sharp-world.com
Sayurbox	minati@sayurbox.com
Miniso Home	minisoindonesia@miniso.com
Vitacimin V	mintje@vitacimin.com
Toyota	mirandi.swari@toyota.astra.co.id
Mizone	mizone100persen@gmail.com
Bakmi GM V	mktg@bakmigm.com
Flash Coffee	mohammad.adam@flash-coffee.com
Mandarin Orientar Hotel	mojkt-enquiries@mohg.com
DBS Bank	monamonika@dbs.com
Mr DIY Indonesia	monika.puspitasari@mrdiy.com
PT Epson Indonesia	montessa@ein.epson.co.id
Roppan	moshimoshi@roppan.com
Move On Mutlimedia	moveon.multimedia@gmail.com
Jasa Raharja	muhammad.ferhat@jasaraharja.co.id
Akhmad Zaenuddin & Partners	muhammad.hasan@azlaw.ro
LinkAja	mutia_ardi@linkaja.id
JD.ID	naddysudono@yahoo.com
Midtrans	nadia.djauhari@midtrans.com
Xendit	nafinia@xendit.co
Traveloka	nafisah.wulandari@traveloka.com
PepsiCo	najla.prihana@pepsi.com.mx
Rukita	natasha.sinaga@rukita.co
PT Aliansi Sakti	nathania@aliansi-sakti.com
Ades	ncc@sea.ccamatil.com
Coca-Cola	ncc@sea.ccamatil.com
Coca-cola & Fanta	ncc@sea.ccamatil.com
Minutemaid	ncc@sea.ccamatil.com
Nestle	nestle.bearbrandindonesia@gmail.com
Nestle	nestle.indonesia@id.nestle.com
Dunkin Donuts	newvendorrelations@dunkinbrands.com
Coca Cola	nfo@cocacola.co.id
Pt. Sinar Sosro Group	ni
PT. So Good Food	nicki.wijaya@japfa.com
Nivea	Nila.octoviani@beiersdorf.com
Garuda Indonesia	nila.talitha@garuda-indonesia.com
PT Agung Podomoro Land, Tbk	ninik.indarti@apg.com
Bank BRI	ninis.adriani@bri.co.id
KULO Group	ninna.maisa@kulogroup.com
Prudential	novilia.chiandra@gmail.com
PT. Bank HSBC Indonesia	nunisutyoko@hsbc.co.id
Garudafood Indonesia	Nurazizah.Nurazizah@garudafood.co.id
Garuda Food	Nurazizah.Nurazizah@garudafood.co.id
PT Nutrifood Indonesia	octaviani.lydia@nutrifood.co.id
Alega	olga@alega.id
Vivo	olivia.hedyta@vivoglobal.com
Chandra Karya V	online@chandrakarya.com
CIMB Niagar Bank	orporate.secretary@cimbniaga.co.id
Ovaltine Indonesia	ovaltineindonesia@gmail.com
Oxone	oxone.official@gmail.com
TENCENT	p_rizman@tencent.com
DNT Lawyers	pahrurdalimunthe@dntlawyers.com
Citibank	pajar.pratama.yonatan@citi.com
RGE	pamungkas_t@rgei.com
PT Nippon Indosari Corpindo Tbk	panelty.silitonga@sariroti.com
Hangry	parardya.catrasatwika@ishangry.com
PT Bluepay Digital International	partner.id@mart.blue
Zalora	partner.program@zalora.co.id
Zalora Indonesia V	partner.program@zalora.co.id
Love, Bonito	partner@lovebonito.com,customercare.id@lovebonito.com
Dewaweb	partnership@dewaweb.com
Pahamify	partnership@pahamify.com
Scarlett Whitening	partnership@scarlettwhitening.com
Traveloka	partnership@traveloka.com
GRAB	partnerships.id@grab.com
Kopi Kenangan	partnerships@kopikenangan.com
Pertamina	pcc135@pertamina.com
PT Campina Ice Cream Industry	pelangganku@campina.co.id
Pentel	pentelindonesia@yahoo.co.id
Pentel Indonesia	pentelindonesia@yahoo.co.id
Stockbit	people@stockbit.com , dian@stockbit.com
PT. Sinar Sosro	pers_btn@sosro.com
Pond's Indonesia	ponds.institute@unilever.com
Pop mie	popmie@icbp.indofood.co.id
popmie	popmie@icbp.indofood.co.id
Zalora	pr@id.zalora.com
Investree	pr@investree.id
Tokopedia	pr@tokopedia.com
Zalora	pr@zalora.co.id
PT Unilever Indonesia	praratika@yahoo.com
Rose All Day Cosmetics	priscilla@roseallday.co
Kapal Api Global	priscillagatha22@gmail.com
PT.Sukanda Jaya	priyanti.hapsari@diamond.co.id
Hydro Coco	promosi@myhydrococo.com
Tiket.com	promotion@tiket.com
Yakult	propaganda@yakult.co.id (a/n bu Rifqa atau Bpk Panji) / 021-296333 45, ext. 3202/3203 (bagian propaganda)
Gojek	publicrelations@go-jek.com
Indosat V	publicrelations@indosat.com/ (Bu Venty)
Mustika Ratu	publicrelations@mustika-ratu.co.id
Yeo’s	publicrelations@yeos.com
Teh Pucuk	pucukharum123@gmail.com
Citigroup Indonesia	puni.anjungsari@citi.com
PT Indonesia Tsingshan Stainless Steel	purcashingjkt@imip.co.id
PT. Amerta Indah Otsuka	pwinawati@aio.co.id
Ranch Market	r.sulistyo@ranchmarket.co.id
Mandiri Capital	rabbi@mandiri-capital.co.id
Fibrefirst	raditya.syahbana@dosniroha.id
Yummy corp	Raetedy@yummycorp.com
SICEPAT	rafi.abiawan@sicepat.com
SICEPAT EKSPRESS INDONESIA	rafi.abiawan@sicepat.com
Ciptadana Sekuritas	Raissazabrina@ciptadana.com
Astra International	ramsi.dharmatjahjadi@ai.astra.co.id
PT. Frisian Flag Indonesia	randi-indrawan@frisianflag.com
PT Bareksa Portal Investasi	ratnanitya@gmail.com
MAP	ratu.permatasari@map.co.id
Propan Raya	raymond.steven@propanraya.com
Ritz-Carlton Jakarta	rc.jktrz.reservations@ritzcarlton.com
AGUNG SEDAYU GROUP	recruitment.pom@agungsedayu.com
PT.Bima cakra perkasa mineralindo	recruitment@bcpm.co.id
Fastock	Recruitment@fastock.id
PT.Bank CCB	recruitment@idn.ccb.com
Lion Air	recruitment@lionair.co.id
PT Medco E&P Indonesia	Recruitment@Medcoenergi.com
Qualis	recruitment@qualis-indonesia.com
PT TOG Indonesia	recruitment@tog.co.id
Summarecon	recruitment_corporate@summarecon.com
Sony Music Entertainment V	redaksi@gramediapublishers.com
Sinarmas Sekuritas	Reney.mosal@sinarmassekuritas.co.id
Fairmont Jakarta	Reservations.Jakarta@Fairmont.com
Tempo Group	reza.pahlevi@thetempogroup.com
Haus Indonesia	rezaalfianto@haus.co.id
Wardah	rianty.kdewi@pti-cosmetics.com
Logitech Indonesia	ribka@suryamcandra.co.id
Astra Honda Motor	richard.halim@astra-honda.com
Heavenly Blush	ricky.kapoyos@heavenlyblush.com
PT Unilever Indonesia	riescha-puri.gayatri@unilever.com
PT Bank ICBC Indonesia	rifat.limboro@gmail.com
PT Gree Electric Appliances Indonesia	rio.bong@gree.id
Air Asia	rizkidarmawan@airasia.com
CIMB Niaga	rmtt_csfipg@cimbniaga.co.id
Smartfren	robert.saputra@smartfren.com
Ropang Whatever	ropangwhatever@gmail.com
Roti Jadul Kocabi v	rotikocabi@gmail.com
Rough Neck Indonesia	roughneckindonesia@gmail.com
Enesis	ryan.tirta@enesis.com
Gulaku	Ryandhika@ptgulaku.com
Milo	sahabat.nestle@id.com
Inaco	sahabatinacofood.com
PT Nusa Indometal Mandiri v	sales@nim.co.id
Putera Lombok v	sales@puteralombok.com
Silverqueen	sales@silverqueen.com
Triyaso	sales@triyaso.co.id
Tiket.com	salman.helmy@tiket.com
Tiket.com	salman.helmy@tiket.com / promotion@tiket.com
Gojek	sam.diah@gojek.com/astrella.depari@go-jek.com
Frision Flag	sandra.naomi@frieslandcampina.com
MSIG Indonesia	santi_chaerani@id.msig-asia.com
Kopi Kapal Api V	santos@kapalapi.co.id
CIMB Niaga	sarah.aditya@cimbniaga.co.id
Garuda Indonesia	sarah.claudia@garuda-indonesia.com
Roma sari gandum	Sarigandumid@gmail.com
Sari Gandum	sarigandumid@gmail.com
Sarimi	sarimi@icbp.indofood.co.id
SASC	sascofficial@gmail.com
MR DIY	saskia.dewi@mrdiy2u.com
Peperclip	sasru@paperclip.co.id
PT Medco E&P Indonesia	Sausan.Sausan@medcoenergi.com
PT Metrodata Electronics Tbk	sebastian.steven12@gmail.com
PT Indonesia Tsingshan Stainless Steel	secretariat@imip.co.id
Hotel De Java	secretarydejavahotel@gmail.com
Bogasari	selvia.dewartsi@bogasariflour.com
Senka Indonesia	senkaindonesia@gmail.com
Senora Digital Print	senora.print@gmail.com
SG	sgpusat@gmail.com
BLP Beauty	shania@blpbeauty.com
PT Medco E&P Indonesia	sharah.savitri@medcoenergi.com
Bogasari	sheila.aryyani@bogasariflour.com
Cimory Group	sheila.aryyani@cimory.com,prajna.paramytha@cimory.com
Shinyoku	shinyokuindonesia@yahoo.co.id
Shinyoku Indonesia	shinyokuindonesia@yahoo.co.id
Silky Girl Indonesia	silky.indonesia@gmail.com
PT SINAR METRINDO PERKASA	simetri@indo.net.id
MNC Bank	siti.andalucia@mncbank.co.id
Sony	siti.marhamah@sony.com
Sido Muncul	socialmedia@sidomuncul.co.id
Gramedia	socialmediagramedia@gramedia.com
Soyjoy	soyjoyjakbar@aio.co.id
Soyjoy	soylutioncenter@aio.co.id
Paragon	sponsorship.pti-cosmetics.com
OVO	sponsorship@ovo.id
Traveloka	sponsorship@traveloka.com
Traveloka	sponsorship@traveloka.com.
PT Nutrifood Indonesia	stefani.dini@nutrifood.co.id
Nutrifood	stefani.trasistha@nutrifood.co.id
Fore Coffee	stefannie@fore.coffee
PT Unilever Indonesia	stela-tika.lestari@unilever.com
Wings Group Indonesia	stella.eidelina@wingscorp.com
PT Unilever Indonesia	stephanie.regina@unilever.com
Go Kampus v	studentrelations@gokampus.com
Walls V	suara.konsumen@unilever. com
Gokana	suarapelanggan@champ-group.com
PT Kalbe	Sulastri.Wahyuni@kalbe.co.id
Sundae Shower	sundae.showeremedy@gmail.com
Super Furry	superfurry.id@gmail.com
Atome	support.atome.com
Grab	support.id@grab.com.
PT Takjub Teknologi Indonesia	support.reksadana@ajaib.co.id
PT Ajaib Sekuritas Indonesia	support.saham@ajaib.co.id
AIDO	support@aido.id
Ajaib	support@ajaib.co.id
LIfepal	support@lifepal.co.id
Moka	support@mokapos.com
Naturalfarm	support@naturalfarm.id
Stockbit	support@stockbit.com
PT. Sharp Electronics Indonesia	support-it@cs.sharp-indonesia.com
Indomaret	susantoevan@indomaret.co.id
Astra Honda Motor	sylvia.herawati@astra-honda.com
Indomaret	ta@indomaretgroup.com
Indomaret Group	ta@indomaretgroup.com
Pasarnow	tassya.manuella@pasarnow, yolan.pasarnow@gmail.com
Astra V	teguh.santoso@tso.astra.co.id
Astra International	th.mninawati@ai.astra.co.id
Sayurbox	thaariq@sayurbox.com
PT Indofood Sukses Makmur Tbk.	thalia.angeline@indofood.com
Pluang	thea.gizela@pluang.com
Ovo	theodosius.michael@ovo.id
Blibli	tivani.manurung@gdn-commerce.com
Tolak angin	tolakanginjkt@gmail.com
Tregioia Creamery v	tregioia.creamery@gmail.com
Bank Mandiri	tri.sartiningsih@bankmandiri.co.id
Bank Mandiri Syariah	tri.sartiningsih@bankmandiri.co.id
PT Medco E&P Indonesia	Triasta.Nugroho@medcoenergi.com
Tropicana Slim	tropicanaslimid@gmail.com
Tropicana Slim	tropicanaslimid@gmail.com
Truz Store	truzstore@gmail.com
98.7 Gen FM	tyas@987genfm.com
LG Electronics	unggul.baskoro@lge.com
Unilever	unvr.indonesia@unilever.com
Bank UOB	UOBCare@uob.co.id
PT Unilever Indonesia	valencia.gabriella@unilever.com
Vans Indonesia	vans.indo@navya.co.id
OCBC NISP	varian.mohammad@ocbcnisp.com
Vaseline	vaselineindonesia@yahoo.com
Procter & Gamble	verren.v@pg.com
Gojek	vicario.reinaldo@gmail.com
Mayora	vicky.akira@mayora.co.id
Djarum	victor.r.hartono@djarum.com / sindaka@djarum.com
Viva Cosmetics v	vita_marketing@yahoo.com
Suntory Garuda	wahyudi.saputro@suntorygaruda.com
Walao Eh v	walaoehindonesia@gmail.com
Kimia farma	webmaster@kimiafarma.co.id
Hokben	Website
Amartha	wenas@amartha.com
PT Megaindo Gemilang Lestari	wenny@megaindo.com
Westin Jakarta	westin.jakarta@westin.com
PT Unilever Indonesia Tbk	wike.warzukni-marzuki@unilever.com
PT Gree Electric Appliances Indonesia	winda.erlina@gree.id
Tugu Pratama	woeslibranty@tugu.com
Workroom Coffee	workroomcoffee@gmail.com
Astra Honda Motor	wulan.p.sari@astra-honda.com
ADVANCE.AI	xu.chris90@gmail.com
The Body Shop	yana-febriyana@thebodyshop.co.id
Sinarmas land	yessyliembawati@gmail.com
Yoforia	yoforiaid@gmail.com
Kompas	Yogi.nugraha@kompas.tv
Yomie's Yoghurt	yomiesindonesia@gmail.com
PT. BANK NEGARA INDONESIA	yonathan.sakramenta@bni.co.id
Kawan Lama Group	yonathann27@gmail.com
Klik Daily	Yosuagunawan@gmail.com
Youvit	youvitofficial@gmail.com
PT. Bank HSBC Indonesia	yudhisutrisna@hsbc.co.id
Cakap	yuditha@cakap.com
PT. Indofood CBP Sukses Makmur	zasqia.wardani@danone.com
Tiktok Indonesia	zhangencheng@bytedance.com
